cell_id,row,col,latitude,longitude,population_density,building_density,road_density,road_intersection_density,distance_to_highway,builtup_percentage,vegetation_percentage,water_percentage,night_lights,school_count,hospital_count,police_count,bus_stop_count,elevation,slope,ndvi,ndbi,commercial_percentage
0,0,0,12.8116,77.4346,0.027653891678781278,0.05497628972382628,0.0681747461261352,0.17896356185205106,0.9022503622749157,0.12070430217126174,0.4896392200015904,0.016221433144580914,0.09121077741650695,0.12832104725305762,0.13016566630409854,0.0,0.17452187357546592,0.9024851518523697,0.8281512297089145,0.2794846719683637,0.8286366225290472,0.08930708049764322
1,0,1,12.8116,77.4446,0.07717554656291409,0.06132060598474777,0.15498306700284312,0.1658562869414023,0.5648116870525134,0.16718479117316334,0.23651422124257643,0.09585425500590421,0.08224515099988657,0.05321297880833537,0.17308822744761365,0.07605323049579259,0.03127851112412333,0.40299721181284043,0.06327500064835617,0.11858253666088248,0.7451938314365715,0.8003631206936479
2,0,2,12.8116,77.4546,0.0,0.15840859687159753,0.20042967985366725,0.10881724646742712,0.2665501139620196,0.9538517125371778,0.558686150156479,0.03375104280210279,0.07655647236331725,0.0512561920947822,0.08997070685320284,0.2029478343620039,0.012945997788560776,0.15295169400349629,0.8094202177172714,0.1369010614935884,0.6447629681978782,0.6791651719339492
3,0,3,12.8116,77.4646,0.04912193279109652,0.11401225710938248,0.10414437472717926,0.151829015065113,0.7286113986837869,0.4842268878837799,0.7224991870221082,0.5307639176348923,0.07708557649158325,0.023949454296828914,0.03854261088466998,0.09957581764064087,0.14459988812337524,0.34068795191488094,0.9725185802147687,0.7495879579659857,0.4710423832373684,0.8033683586314666
4,0,4,12.8116,77.4746,0.18170313582682787,0.21767424064493798,0.01152488899883737,0.1300604442374356,0.5435848156600115,0.29637076499884357,0.7778981275159185,0.7682276889610902,0.08358114781992866,0.013849447305341689,0.0446010123413144,0.19103834891129995,0.16832184849965298,0.2129186568510569,0.7504142897526259,0.06021522990908515,0.79050280967239,0.03250574713465166
5,0,5,12.8116,77.4846,0.09604185592225559,0.20980698126503053,0.22557544858491052,0.05271176846944002,0.09925513722173535,0.4562329177832842,0.8551420869319345,0.10491598610590282,0.09274164761705293,0.054148089114899774,0.1837785956137592,0.17755442287262974,0.035784630438835924,0.2008221002839692,0.5455719558876255,0.06018486486374415,0.5815957722200471,0.6152886715575492
6,0,6,12.8116,77.4946,0.1488939665180419,0.1472928402109428,0.0854738598381477,0.23326419098730627,0.3714048583174085,0.9765478643797162,0.6957998118962108,0.9824764727774821,0.09980098955592809,0.09679423460119485,0.06744845554287808,0.19464157932890716,0.08067932792242168,0.2784695320014445,0.18818697383150457,0.8114559473004902,0.22309295019535536,0.6876241537416948
7,0,7,12.8116,77.5046,0.18463015051506335,0.04764924661557283,0.036996958915393396,0.16079957462680708,0.07766473187645573,0.46045722489037016,0.9732010058381696,0.1509084001474569,0.10081330766724075,0.13128125554153172,0.05270219289714233,0.09686269251393871,0.21346907391147585,0.0023927544417356493,0.8146990327456761,0.46481127299455866,0.4025563446847554,0.6373100399103894
8,0,8,12.8116,77.5146,0.09848360625638002,0.147580921816244,0.17947853129602956,0.22478006072154955,0.711813858407931,0.7529231708513081,0.5345101067736527,0.33628937901967393,0.09453824079636547,0.0965442558255134,0.19583693077468747,0.1784970122491554,0.2375274360567252,0.48570897984750605,0.8038645597188367,0.3808592728894841,0.7149199957558585,0.5243107896233928
9,0,9,12.8116,77.5246,0.08481607537977676,0.12589227664278946,0.20501147875872544,0.1645200040608392,0.0432851660428296,0.09816429600445319,0.10336337168604548,0.2629993575807099,0.0830280706288437,0.10340091268589774,0.18000474564243907,0.18484832847872312,0.26318581820511644,0.4979038574186722,0.5237882008433908,0.33659896436482617,0.4851566666604716,0.2327522841923279
10,0,10,12.8116,77.5346,0.18190930312056253,0.20521795603912255,0.25375275399480796,0.07319257389939422,0.8153475277738683,0.48263277835968216,0.7821309957542261,0.5381192447589713,0.07069517181849008,0.08824788713053162,0.25212170642766735,0.261641615158657,0.08822946064471159,0.9658347346634746,0.5380016599347072,0.828302819256533,0.6460993752779802,0.5654843283471843
11,0,11,12.8116,77.5446,0.2136831502953355,0.2123905385607597,0.1800911132385324,0.2813299829532309,0.9832956025269195,0.9750124170059211,0.8357028219913131,0.1256029277433379,0.0623864570624431,0.232502351587981,0.20672248605185517,0.1873354581949803,0.11920655176579723,0.059087960776661806,0.6054025248406755,0.33306122023765566,0.6683146884743493,0.007080224731941627
12,0,12,12.8116,77.5546,0.2067725102427973,0.13362344837324977,0.11792128238472552,0.11237747048168371,0.06669139694134545,0.5593990327723937,0.20073509200840556,0.9262934091485273,0.06136805539639041,0.20730501078452387,0.15853767074597036,0.12906905643806582,0.2786639647549323,0.22938897285322676,0.23683064276702753,0.7173701684669624,0.7059601538808272,0.49648944508473514
13,0,13,12.8116,77.5646,0.21357745991773777,0.22922514462784685,0.2600558060283089,0.28639676750638,0.5430128272247045,0.48507658940347265,0.26837177159949327,0.5228774840008018,0.06801512425313111,0.2406808238048678,0.27617694805619913,0.2680984168122566,0.19793532430206112,0.2911928460674292,0.09731979278511584,0.1644169705961034,0.6326707543145076,0.8090873471964165
14,0,14,12.8116,77.5746,0.1523505171156014,0.18278828973988176,0.23709851589643913,0.2076552277670688,0.1272338196873428,0.5290960432096034,0.9068103739600408,0.1435681631569395,0.07963452927618102,0.2723170288251561,0.1197945920708778,0.1951735165580103,0.09773644456820207,0.4623671219428029,0.9660234192289007,0.46070390902041053,0.8788397016225101,0.24660976130472542
15,0,15,12.8116,77.5846,0.260995845385233,0.2776744836920051,0.18402243327851925,0.25752296654319534,0.5457296907245681,0.3805582193111995,1.0,0.8609293081255556,0.09145675004073754,0.08943467097391022,0.21737206337922613,0.1249105744607657,0.27553609028186576,0.8789421690311003,0.5711998377890064,0.8442839309939518,0.2658885444259203,0.9547637706715195
16,0,16,12.8116,77.5946,0.13043111068665544,0.20307511108916032,0.26799256455117476,0.12371799662616946,0.8259510466577058,0.3796291134933833,0.5483796907426511,0.6137186709934649,0.09845385548253772,0.25309623290855365,0.15452247417265808,0.2836892999496466,0.20457990402702184,0.2384787278142187,0.27024246344353037,0.04292799006497447,0.06920060771389074,0.8626154447301875
